投資信託種別,口座区分,ファンド名,分配金,現在の評価金額[円],保有数量[口],基準価額[円],累計受取分配金額[円],累計解約金額[円],累計買付金額[円],トータルリターン[円]  
"投資信託","特定","＜購入・換金手数料なし＞ニッセイＴＯＰＩＸインデックスファンド","再投資型","424,994","295,422","14,386","0","0","333,345","91,649"
"投資信託","特定","eMAXIS Slim 新興国株式インデックス","再投資型","2,059,835","1,663,438","12,383","0","400,000","2,153,500","306,335"
"投資信託","つみたてNISA","たわらノーロード 先進国株式","再投資型","1,864,771","852,116","21,884","0","0","1,256,317","608,454"
"投資信託","つみたてNISA","eMAXIS Slim 米国株式(S&P500)","再投資型","707,989","369,842","19,143","0","0","557,991","149,998"
