投資信託種別,口座区分,ファンド名,分配金,現在の評価金額[円],保有数量[口],基準価額[円],累計受取分配金額[円],累計解約金額[円],累計買付金額[円],トータルリターン[円]  
"投資信託","特定","＜購入・換金手数料なし＞ニッセイＴＯＰＩＸインデックスファンド","再投資型","438,996","300,045","14,631","0","0","340,012","98,984"
"投資信託","特定","eMAXIS Slim 新興国株式インデックス","再投資型","2,070,845","1,671,384","12,390","0","400,000","2,163,500","307,345"
"投資信託","つみたてNISA","たわらノーロード 先進国株式","再投資型","1,885,119","860,353","21,911","0","0","1,274,317","610,802"
"投資信託","つみたてNISA","eMAXIS Slim 米国株式(S&P500)","再投資型","724,309","377,894","19,167","0","0","573,324","150,985"
