投資信託種別,口座区分,ファンド名,分配金,現在の評価金額[円],保有数量[口],基準価額[円],累計受取分配金額[円],累計解約金額[円],累計買付金額[円],トータルリターン[円]  
"投資信託","特定","＜購入・換金手数料なし＞ニッセイＴＯＰＩＸインデックスファンド","再投資型","480,810","308,964","15,562","0","0","353,346","127,464"
"投資信託","特定","eMAXIS Slim 新興国株式インデックス","再投資型","2,160,655","1,687,484","12,804","0","400,000","2,183,500","377,155"
"投資信託","つみたてNISA","たわらノーロード 先進国株式","再投資型","2,064,668","876,419","23,558","0","0","1,310,317","754,351"
"投資信託","つみたてNISA","eMAXIS Slim 米国株式(S&P500)","再投資型","821,097","393,340","20,875","0","0","603,990","217,107"
